date,region,prediction_confirmed,prediction_deaths
2020-04-14,AFG,765,24
2020-04-15,AFG,820,26
2020-04-16,AFG,879,28
2020-04-17,AFG,942,30
2020-04-18,AFG,1010,33
2020-04-19,AFG,1083,35
2020-04-20,AFG,1161,38
2020-04-21,AFG,1244,41
2020-04-22,AFG,1334,44
2020-04-23,AFG,1200,47
2020-04-24,AFG,1280,51
2020-04-25,AFG,1358,55
2020-04-26,AFG,1428,59
2020-04-27,AFG,1516,64
2020-04-28,AFG,1601,69
2020-04-29,AFG,1687,74
2020-04-30,AFG,1768,80
2020-05-01,AFG,1852,86
2020-05-02,AFG,1988,92
2020-05-03,AFG,2042,99
2020-05-04,AFG,1732,107
2020-05-05,AFG,1778,115
2020-05-06,AFG,1824,124
2020-05-07,AFG,1869,133
2020-05-08,AFG,1914,143
2020-05-09,AFG,1958,154
2020-05-10,AFG,2002,166
2020-05-11,AFG,2045,179
2020-05-12,AFG,2087,193
2020-05-13,AFG,2130,207
2020-05-14,AFG,2172,223
2020-05-15,AFG,2213,240
2020-05-16,AFG,2255,258
2020-05-17,AFG,2296,278
2020-05-18,AFG,2337,299
2020-05-19,AFG,2378,322
2020-05-20,AFG,2419,347
2020-05-21,AFG,2459,373
2020-05-22,AFG,2500,401
2020-05-23,AFG,2540,432
2020-05-24,AFG,2581,465
2020-05-25,AFG,2621,500
2020-05-26,AFG,2661,539
2020-05-27,AFG,2701,580
2020-05-28,AFG,2741,624
2020-05-29,AFG,2782,671
2020-05-30,AFG,2822,722
2020-05-31,AFG,2862,777
2020-06-01,AFG,2901,837
2020-06-02,AFG,2941,900
2020-06-03,AFG,2981,969
2020-06-04,AFG,3021,1043
2020-06-05,AFG,3061,1122
2020-06-06,AFG,3101,1207
2020-06-07,AFG,3141,1299
2020-06-08,AFG,3181,1398
2020-06-09,AFG,3220,1505
2020-06-10,AFG,3260,1619
2020-06-11,AFG,3300,1743
2020-06-12,AFG,3340,1875
2020-06-13,AFG,3380,2018
2020-06-14,AFG,3419,2172
2020-06-15,AFG,3459,2337
2020-06-16,AFG,3499,2515
2020-06-17,AFG,3539,2707
2020-06-18,AFG,3578,2913
2020-06-19,AFG,3618,3134
2020-06-20,AFG,3658,3373
2020-06-21,AFG,3698,3630
2020-06-22,AFG,3738,3906
2020-06-23,AFG,3777,4203
2020-06-24,AFG,3817,4523
2020-06-25,AFG,3857,4868
2020-06-26,AFG,3897,5238
2020-06-27,AFG,3936,5637
2020-06-28,AFG,3976,6066
2020-06-29,AFG,4016,6528
2020-06-30,AFG,4056,7025
2020-07-01,AFG,4095,7559
2020-07-02,AFG,4135,8135
2020-07-03,AFG,4175,8754
2020-07-04,AFG,4215,9420
2020-07-05,AFG,4254,10137
2020-07-06,AFG,4294,10909
2020-07-07,AFG,4334,11739
2020-07-08,AFG,4374,12633
2020-07-09,AFG,4413,13594
2020-07-10,AFG,4453,14629
2020-07-11,AFG,4493,15743
2020-07-12,AFG,4533,16941
2020-07-13,AFG,4572,18230
2020-07-14,AFG,4612,19618
2020-07-15,AFG,4652,21111
2020-07-16,AFG,4692,22718
2020-07-17,AFG,4731,24447
2020-07-18,AFG,4771,26308
2020-07-19,AFG,4811,28310
2020-07-20,AFG,4851,30465
2020-07-21,AFG,4890,32784
2020-07-22,AFG,4930,35279
2020-07-23,AFG,4970,37965
2020-07-24,AFG,5010,40854
2020-07-25,AFG,5049,43964
2020-07-26,AFG,5089,47310
2020-07-27,AFG,5129,50911
2020-07-28,AFG,5169,54786
2020-07-29,AFG,5208,58956
2020-07-30,AFG,5248,63444
2020-07-31,AFG,5288,68273
2020-08-01,AFG,5328,73469
2020-08-02,AFG,5367,79061
2020-08-03,AFG,5407,85079
2020-08-04,AFG,5447,91554
2020-08-05,AFG,5487,98523
2020-08-06,AFG,5526,106022
2020-08-07,AFG,5566,114092
2020-08-08,AFG,5606,122776
2020-08-09,AFG,5646,132121
2020-08-10,AFG,5685,142177
2020-08-11,AFG,5725,152998
2020-08-12,AFG,5765,164644
2020-08-13,AFG,5805,177175
2020-08-14,AFG,5844,190661
2020-08-15,AFG,5884,205172
2020-08-16,AFG,5924,220789
2020-08-17,AFG,5964,237594
2020-08-18,AFG,6003,255678
2020-08-19,AFG,6043,275138
2020-08-20,AFG,6083,296080
2020-08-21,AFG,6123,318616
2020-08-22,AFG,6162,342867
2020-08-23,AFG,6202,368964
2020-08-24,AFG,6242,389283
2020-08-25,AFG,6282,389283
2020-08-26,AFG,6321,389283
2020-08-27,AFG,6361,389283
2020-08-28,AFG,6401,389283
2020-08-29,AFG,6441,389283
2020-08-30,AFG,6480,389283
2020-08-31,AFG,6520,389283
2020-09-01,AFG,6560,389283
2020-09-02,AFG,6600,389283
2020-09-03,AFG,6639,389283
2020-09-04,AFG,6679,389283
2020-09-05,AFG,6719,389283
2020-09-06,AFG,6759,389283
2020-09-07,AFG,6798,389283
2020-09-08,AFG,6838,389283
2020-09-09,AFG,6878,389283
2020-09-10,AFG,6918,389283
2020-09-11,AFG,6957,389283
2020-09-12,AFG,6997,389283
2020-09-13,AFG,7037,389283
2020-09-14,AFG,7077,389283
2020-09-15,AFG,7116,389283
2020-09-16,AFG,7156,389283
2020-09-17,AFG,7196,389283
2020-09-18,AFG,7236,389283
2020-09-19,AFG,7275,389283
2020-09-20,AFG,7315,389283
2020-09-21,AFG,7355,389283
2020-09-22,AFG,7395,389283
2020-09-23,AFG,7434,389283
2020-09-24,AFG,7474,389283
2020-09-25,AFG,7514,389283
2020-09-26,AFG,7554,389283
2020-09-27,AFG,7593,389283
2020-09-28,AFG,7633,389283
2020-09-29,AFG,7673,389283
2020-09-30,AFG,7713,389283
2020-10-01,AFG,7752,389283
2020-10-02,AFG,7792,389283
2020-10-03,AFG,7832,389283
2020-10-04,AFG,7872,389283
2020-10-05,AFG,7911,389283
2020-10-06,AFG,7951,389283
2020-10-07,AFG,7991,389283
2020-10-08,AFG,8031,389283
2020-10-09,AFG,8070,389283
2020-10-10,AFG,8110,389283
2020-10-11,AFG,8150,389283
2020-10-12,AFG,8190,389283
2020-10-13,AFG,8229,389283
2020-10-14,AFG,8269,389283
2020-10-15,AFG,8309,389283
2020-10-16,AFG,8349,389283
2020-10-17,AFG,8388,389283
2020-10-18,AFG,8428,389283
2020-10-19,AFG,8468,389283
2020-10-20,AFG,8508,389283
2020-10-21,AFG,8547,389283
2020-10-22,AFG,8587,389283
2020-10-23,AFG,8627,389283
2020-10-24,AFG,8667,389283
2020-10-25,AFG,8706,389283
2020-10-26,AFG,8746,389283
2020-10-27,AFG,8786,389283
2020-10-28,AFG,8826,389283
2020-10-29,AFG,8865,389283
2020-10-30,AFG,8905,389283
2020-10-31,AFG,8945,389283
2020-11-01,AFG,8985,389283
2020-11-02,AFG,9024,389283
2020-11-03,AFG,9064,389283
2020-11-04,AFG,9104,389283
2020-11-05,AFG,9144,389283
2020-11-06,AFG,9183,389283
2020-11-07,AFG,9223,389283
2020-11-08,AFG,9263,389283
2020-11-09,AFG,9303,389283
2020-11-10,AFG,9342,389283
2020-11-11,AFG,9382,389283
2020-11-12,AFG,9422,389283
2020-11-13,AFG,9462,389283
2020-11-14,AFG,9501,389283
2020-11-15,AFG,9541,389283
2020-11-16,AFG,9581,389283
2020-11-17,AFG,9621,389283
2020-11-18,AFG,9660,389283
2020-11-19,AFG,9700,389283
2020-11-20,AFG,9740,389283
2020-11-21,AFG,9780,389283
2020-11-22,AFG,9819,389283
2020-11-23,AFG,9859,389283
2020-11-24,AFG,9899,389283
2020-11-25,AFG,9939,389283
2020-11-26,AFG,9978,389283
2020-11-27,AFG,10018,389283
2020-11-28,AFG,10058,389283
2020-11-29,AFG,10098,389283
2020-11-30,AFG,10137,389283
2020-12-01,AFG,10177,389283
2020-12-02,AFG,10217,389283
2020-12-03,AFG,10257,389283
2020-12-04,AFG,10296,389283
2020-12-05,AFG,10336,389283
2020-12-06,AFG,10376,389283
2020-12-07,AFG,10416,389283
2020-12-08,AFG,10455,389283
2020-12-09,AFG,10495,389283
2020-12-10,AFG,10535,389283
2020-12-11,AFG,10575,389283
2020-12-12,AFG,10614,389283
2020-12-13,AFG,10654,389283
2020-12-14,AFG,10694,389283
2020-12-15,AFG,10734,389283
2020-12-16,AFG,10773,389283
2020-12-17,AFG,10813,389283
2020-12-18,AFG,10853,389283
2020-12-19,AFG,10893,389283
2020-12-20,AFG,10932,389283
2020-12-21,AFG,10972,389283
2020-12-22,AFG,11012,389283
2020-12-23,AFG,11052,389283
2020-12-24,AFG,11091,389283
2020-12-25,AFG,11131,389283
2020-12-26,AFG,11171,389283
2020-12-27,AFG,11211,389283
2020-12-28,AFG,11250,389283
2020-12-29,AFG,11290,389283
2020-12-30,AFG,11330,389283
2020-12-31,AFG,11370,389283
2020-04-14,AGO,20,2
2020-04-15,AGO,21,2
2020-04-16,AGO,23,2
2020-04-17,AGO,24,2
2020-04-18,AGO,26,2
2020-04-19,AGO,28,3
2020-04-20,AGO,30,3
2020-04-21,AGO,32,3
2020-04-22,AGO,34,3
2020-04-23,AGO,24,4
2020-04-24,AGO,24,4
2020-04-25,AGO,25,4
2020-04-26,AGO,25,5
2020-04-27,AGO,26,5
2020-04-28,AGO,27,6
2020-04-29,AGO,26,6
2020-04-30,AGO,27,6
2020-05-01,AGO,28,7
2020-05-02,AGO,28,8
2020-05-03,AGO,29,8
2020-05-04,AGO,24,9
2020-05-05,AGO,24,10
2020-05-06,AGO,24,10
2020-05-07,AGO,24,11
2020-05-08,AGO,24,12
2020-05-09,AGO,24,13
2020-05-10,AGO,24,14
2020-05-11,AGO,24,15
2020-05-12,AGO,24,16
2020-05-13,AGO,24,18
2020-05-14,AGO,24,19
2020-05-15,AGO,24,20
2020-05-16,AGO,24,22
2020-05-17,AGO,24,24
2020-05-18,AGO,24,26
2020-05-19,AGO,24,28
2020-05-20,AGO,24,30
